name,year,Overall Index,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,InequalityRate
Greece,2011,60.3,50,38,54.8666666666667,65.9,34.3,69.2,76.2,55.2,80.6,82.6,60,60,6
Iceland,2011,68.2,90,87,69.3,69.8,0,93.8666666666667,92.7,60.7,68.6,88.2,65,60,3.3
Ireland,2011,78.7,90,80,75.2333333333333,72.1,47.1,76.7,92,77.5,80.7,87.6,90,70,4.6
Italy,2011,60.3,50,43,55.3666666666667,55.4,28.6,68.8,77.3,44.4,82.1,87.6,75,60,5.7
Latvia,2011,65.8,50,45,55.6666666666667,82.5,55.5,95.7333333333333,72.8,61.3,73.5,87.6,80,50,6.5
Lithuania,2011,71.3,60,49,63.4333333333333,86.1,58,95.8666666666667,81.7,55.6,74.5,87.6,80,80,5.8
Luxembourg,2011,76.2,90,82,75.7666666666667,66.7,58.5,98.9666666666667,76.4,44.1,82.1,87.6,95,80,4
Malta,2011,65.7,70,52,58.7,62.5,39.8,89.8666666666667,70,60,80.1,87.6,75,60,4
Netherlands,2011,74.7,90,89,72.9,50.6,36.8,88.1666666666667,81.9,58.3,82.7,87.6,90,80,3.8
Norway,2011,70.3,90,86,83.5,51.6,51.5,97.8333333333333,88.3,45.8,75.1,89.4,65,60,3.3
Poland,2011,64.1,60,50,52.8666666666667,74,43.8,81.3333333333333,61.4,61.2,78.1,87.6,65,60,5
Portugal,2011,64,70,58,67.7666666666667,61.1,36.2,49.3,80.1,34.7,82.3,87.6,70,60,5.7
Romania,2011,64.7,40,38,56.7,86.8,57.6,90.4333333333333,72,60.8,74.4,87.6,80,50,6.2
Slovakia,2011,69.5,50,45,38,84.2,63.7,85,73.4,64.5,81.6,87.6,75,70,3.8
